Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
55.42563,0.0005743788,41.92864085375324,-73.38096754276589,0,1,6964.9224,-0.03311145,4,1,false,false,-0.65449023,0.736,8.06739,-1.5816551,-0.01961424,3
55.43875,0.00096986716,41.928637432453186,-73.3809572952602,0,1,6957.398,-0.02871294,4,1,false,false,-0.7749724,0.78710294,8.723357,-1.582013,-0.02130535,3
55.451534,0.0013654575,41.92863410127411,-73.38094716843027,0,1,6950.4033,-0.024081536,4,1,false,false,-0.6043323,0.30026168,8.186034,-1.5823448,-0.018969918,3
55.46125,0.0017611143,41.928630679974056,-73.38093692092458,0,1,6961.8047,-0.02107156,4,1,false,false,-0.9186545,0.6300436,9.624085,-1.5827036,-0.021445215,3
55.47251,0.0021568504,41.92862734879498,-73.38092679409466,0,1,6965.111,-0.01806159,4,1,false,false,-0.69607556,0.7255318,9.909795,-1.5830327,-0.01774971,3
55.48362,0.002552669,41.92862392749493,-73.38091654677292,0,1,6957.749,-0.016671292,4,1,false,false,-0.9475403,0.6219777,10.512909,-1.5833206,-0.020069418,3
55.495903,0.0029485687,41.92862050633226,-73.38090641975904,0,1,6963.26,-0.015049859,4,1,false,false,-0.894956,0.72364277,11.507903,-1.5836543,-0.020712119,3
55.50776,0.0033445575,41.9286171750158,-73.38089617243732,0,1,6961.48,-0.013661317,4,1,false,false,-0.89738214,0.70840585,10.637232,-1.5839429,-0.017819386,3
55.522327,0.003740639,41.92861375385313,-73.38088604560738,0,1,6952.428,-0.013661318,4,1,false,false,-1.0179368,0.927528,11.43394,-1.5842007,-0.01681387,3
55.537823,0.004136833,41.92861033255308,-73.3808757981017,0,1,6940.1562,-0.013661318,4,1,false,false,-0.97187114,0.8964209,11.479734,-1.5844152,-0.013480454,3
55.550766,0.004533133,41.928607001374004,-73.38086567127176,0,1,6930.844,-0.015049859,4,1,false,false,-1.1250523,0.7402407,10.513079,-1.5846293,-0.01366425,3
55.56137,0.0049295165,41.92860358007395,-73.38085542376608,0,1,6931.4062,-0.018061597,4,1,false,false,-0.9599267,0.5205324,9.601786,-1.5848306,-0.010426766,3
55.569214,0.0053259623,41.9286001587739,-73.38084529693616,0,1,6937.644,-0.021071568,4,1,false,false,-0.90771127,0.46846086,9.16175,-1.584998,-0.008149565,3
55.57608,0.0057224613,41.92859673761122,-73.38083504943047,0,1,6945.411,-0.02269211,4,1,false,false,-0.8863087,0.3703062,9.278532,-1.585157,-0.008364164,3
55.581974,0.006119007,41.92859340629477,-73.38082492260054,0,1,6957.686,-0.024081532,4,1,false,false,-0.8595321,0.2996922,7.755907,-1.58532,-0.007680488,3
55.587627,0.0065155895,41.9285899851321,-73.38081467509485,0,1,6971.4473,-0.025702082,4,1,false,false,-0.707447,0.3599013,7.7623487,-1.5854661,-0.0064651715,3
55.595154,0.006912219,41.92858656383204,-73.38080442777313,0,1,6981.4434,-0.02408154,4,1,false,false,-0.84073615,0.4396986,8.806538,-1.5856102,-0.007887006,3
55.603756,0.0073089055,41.92858314253199,-73.3807943009432,0,1,6988.021,-0.02107156,4,1,false,false,-0.9182762,0.47612906,9.652165,-1.5857792,-0.0112476,3
55.61447,0.0077056577,41.92857972136932,-73.38078405343751,0,1,6994.2173,-0.01806159,4,1,false,false,-0.96962225,0.7996545,11.245582,-1.5859703,-0.014262983,3
55.628666,0.008102503,41.92857630006927,-73.38077392660759,0,1,6985.0625,-0.012039889,4,1,false,false,-0.96523046,0.94365394,10.506476,-1.586191,-0.013723438,3
55.64448,0.00849946,41.92857287876921,-73.38076367910189,0,1,6969.6025,-0.007640493,4,1,false,false,-0.73667717,0.876682,10.031669,-1.5863644,-0.008956859,3
55.659756,0.00889653,41.92856945760654,-73.38075343178016,0,1,6961.41,-0.0030099717,4,1,false,false,-0.7220784,0.75997126,10.049208,-1.5864877,-0.007135125,3
55.670883,0.009293691,41.928566036306485,-73.38074330476628,0,1,6955.5913,0.0030108544,4,1,false,false,-0.70153964,0.6711091,10.856699,-1.586548,0.0003676931,3
55.68011,0.009690928,41.928562615006435,-73.38073305744456,0,1,6962.5786,0.007641375,4,1,false,false,-0.47924018,0.44779548,10.019224,-1.5864897,0.006509048,3
55.687767,0.010088221,41.92855919384376,-73.38072280993886,0,1,6969.641,0.010652228,4,1,false,false,-0.41205418,0.46459118,7.8222203,-1.5863465,0.011769273,3
55.696568,0.010485573,41.92855577254371,-73.38071268310894,0,1,6973.2773,0.013663081,4,1,false,false,-0.32291973,0.5392408,8.588887,-1.5861194,0.017115958,3
55.705753,0.010882991,41.92855235124365,-73.38070243560325,0,1,6975.649,0.016673056,4,1,false,false,-0.38763788,0.49082366,11.130603,-1.5858268,0.020360323,3
55.712914,0.011280465,41.928548930080986,-73.38069218828153,0,1,6986.7705,0.01968303,4,1,false,false,-0.23429443,0.4001022,10.532414,-1.5854509,0.024873018,3
55.722115,0.011677997,41.92854550878093,-73.38068206126763,0,1,6998.243,0.019683026,4,1,false,false,-0.18426931,0.68721944,10.867246,-1.5849855,0.028259847,3
55.735874,0.012075611,41.92854208748088,-73.38067181394591,0,1,6987.2173,0.022693,4,1,false,false,-0.10688509,0.86031455,11.258636,-1.5844524,0.031944692,3
55.750023,0.01247333,41.92853866618083,-73.38066156644022,0,1,6973.791,0.022692997,4,1,false,false,-0.022062093,0.8312745,11.060853,-1.5838581,0.03624265,3
55.762547,0.012871143,41.92853524501815,-73.3806513191185,0,1,6972.7974,0.019683022,4,1,false,false,0.11253446,0.7306377,11.263186,-1.5831897,0.04085236,3
55.773766,0.013269044,41.928531823718096,-73.3806411921046,0,1,6968.9424,0.01667305,4,1,false,false,0.1288575,0.6800648,11.336473,-1.5824752,0.042613905,3
55.78403,0.013667023,41.928528402418046,-73.38063094478288,0,1,6966.4233,0.012041651,4,1,false,false,0.2919738,0.5963308,10.815758,-1.5817347,0.044860877,3
55.793236,0.014065071,41.92852498125537,-73.3806206972772,0,1,6970.639,0.007641374,4,1,false,false,0.2750009,0.5599826,10.901205,-1.5809803,0.04434965,3
55.80203,0.014463177,41.92852155995532,-73.38061044995547,0,1,6972.534,0.0016214324,4,1,false,false,0.32631144,0.5533913,10.7721615,-1.580242,0.04344284,3
55.810482,0.014861349,41.928518138655264,-73.38060020244977,0,1,6975.1343,-0.0030099712,4,1,false,false,0.34790012,0.55448633,10.027159,-1.5795285,0.041044705,3
55.81917,0.015259583,41.9285147174926,-73.38058995494409,0,1,6978.2393,-0.010651348,4,1,false,false,0.3658909,0.52633244,9.568513,-1.5788774,0.037634123,3
55.827324,0.015657876,41.92851129619254,-73.38057970762236,0,1,6980.8286,-0.018061593,4,1,false,false,0.36722025,0.4972895,9.094035,-1.5782969,0.03282758,3
55.83427,0.016056223,41.92850787489249,-73.38056946011667,0,1,6986.588,-0.024081532,4,1,false,false,0.34603056,0.38261077,8.565031,-1.5778103,0.027825786,3
55.8404,0.016454615,41.928504453729815,-73.38055921279495,0,1,6997.621,-0.030101474,4,1,false,false,0.32016054,0.37326214,8.986941,-1.5773996,0.024024718,3
55.847023,0.016853053,41.928501032429764,-73.38054896528926,0,1,7007.1187,-0.034732886,4,1,false,false,0.35112473,0.44904318,8.732063,-1.5770416,0.019926755,3
55.855633,0.017251542,41.92849761112971,-73.38053871778358,0,1,7010.054,-0.037742857,4,1,false,false,0.3173319,0.5320386,9.556668,-1.5767761,0.013072164,3
55.865627,0.0176501,41.92849418996704,-73.38052847046184,0,1,7010.8936,-0.040752828,4,1,false,false,0.22420457,0.6417896,9.517015,-1.5766172,0.005830125,3
55.87565,0.018048733,41.92849076866698,-73.38051822295616,0,1,7008.13,-0.040752824,4,1,false,false,0.29562876,0.5623932,6.545406,-1.5765551,0.0036743914,3
55.88592,0.018447435,41.92848734736693,-73.38050797563443,0,1,7007.328,-0.040752824,4,1,false,false,0.38195586,0.6719071,7.747873,-1.5765377,0.0011466445,3
55.894302,0.018846205,41.92848392620426,-73.38049772812874,0,1,7007.131,-0.040752824,4,1,false,false,0.0030989647,0.29822493,11.404943,-1.5766495,-0.010488533,3
55.899414,0.019245021,41.92848050490421,-73.38048748062306,0,1,7020.319,-0.033111457,4,1,false,false,0.09645602,0.33984864,9.975513,-1.5768658,-0.011677222,3
