"position","name","points","dropped","clubname","countrycode","irating","avgfinish","topfive","starts","lapslead","wins","incidents","division","weekscounted","laps","poles","avgstart","custid"
1,"Mathias Klein",559.0,0,"","DE",4707,2.0,6,6,33,3,0,1,4,64,3,2.0,114183
2,"Daniel Case2",558.0,0,"","US",4456,3.0,10,12,49,5,47,1,4,130,6,2.0,717224
3,"Sam Mott",537.6666720000001,0,"","GB",4174,3.0,16,19,106,7,99,1,4,246,6,3.0,671814
4,"Pierre Olivier",535.6999969999999,0,"","FR",4789,3.0,37,41,220,15,72,1,4,467,18,3.0,1199856
5,"Elijah K White",534.5,0,"","US",3534,5.0,9,15,43,3,70,1,4,165,6,2.0,1151613
6,"Dima Syrkin2",531.6666720000001,0,"","GO",4338,4.0,24,30,100,9,119,1,4,304,4,3.0,922603
7,"Brett McBurnie",528.0,0,"","AU",6907,2.0,7,8,53,4,20,1,4,92,6,2.0,22184
8,"David Rodríguez4",525.5,0,"","ES",5852,2.0,15,15,109,11,14,1,4,157,9,2.0,995197
9,"Luka Bogunovic",524.0,0,"","NZ",4292,2.0,4,4,34,3,1,1,4,46,2,2.0,1144836
10,"Stephen Strudwick",518.416664,0,"","GB",3395,5.0,30,43,144,10,172,2,4,466,14,3.0,1337570
11,"Luca Bono",509.5,0,"","IT",3528,5.0,10,15,2,0,54,2,4,177,2,4.0,1244989
12,"Wen Jun",507.41666399999997,0,"","CN",3980,4.0,65,87,219,24,294,1,4,879,19,3.0,1270700
13,"Leonardo Mallaco",500.66666399999997,0,"","BR",2734,4.0,45,62,218,16,158,3,4,643,16,4.0,846713
14,"Miguel Lozano",499.0,0,"","ES",3579,3.0,17,20,48,5,26,2,4,229,5,3.0,154768
15,"Jayden Sherwood",494.0,0,"","GB",5676,3.0,5,6,58,5,34,1,4,70,4,1.0,902107
16,"Greg Boyce",487.5,0,"","US",3581,3.0,9,11,61,4,44,2,4,143,4,2.0,969500
17,"Tony Alberts",481.0,0,"","US",3247,3.0,9,11,37,3,35,2,4,127,3,3.0,878678
18,"Steve Vandeputte",473.166672,0,"","BE",2508,6.0,40,80,128,10,421,4,4,788,22,3.0,1223052
19,"Frankie Dee",472.0,0,"","US",4399,3.0,6,7,14,2,11,1,4,77,1,4.0,511560
20,"Gabriel Benitez",471.333328,0,"","ES",5171,2.0,35,38,169,18,59,1,3,349,25,1.0,1143961
21,"Manuel Dambacher",470.566666,0,"","FR",2818,6.0,25,50,25,3,205,3,4,535,2,6.0,1137112
22,"Scott Cooper7",463.833328,0,"","AU",3049,4.0,31,38,58,4,135,3,4,436,7,4.0,1196186
23,"Carson Krenz",462.61666099999997,0,"","US",3820,4.0,42,54,125,12,149,1,4,599,11,4.0,301961
24,"Oscar Knight",460.0,0,"","GO",2377,5.0,12,17,28,2,55,4,4,204,2,4.0,1370610
25,"Bogdan Krystek",458.719643,0,"","CA",2441,6.0,76,157,129,9,773,4,4,1641,19,4.0,1147090
26,"Pino Palazzo",456.300003,0,"","GB",4755,3.0,29,34,197,20,137,1,3,378,15,3.0,952603
27,"Paulius Rudminas",456.0,0,"","LT",2370,4.0,6,10,22,2,35,4,4,118,3,4.0,1236247
28,"Mark Mifsud",452.0,0,"","MT",4987,3.0,14,16,58,5,37,1,4,184,5,3.0,761111
29,"Shintaro Ichimura",451.5000001,0,"","JP",2583,6.0,18,38,23,1,167,2,4,409,1,5.0,358052
30,"Marcellus Allen2",450.785713,0,"","US",2582,6.0,53,100,11,2,385,3,4,1085,1,10.0,1076146
31,"Rui Oliveira Teixeira",448.142852,0,"","MO",7199,1.0,54,56,357,47,89,1,3,516,45,1.0,845556
32,"Matthew Joseph Graham",447.5,0,"","GB",3482,4.0,9,11,43,5,91,2,3,127,2,6.0,512991
33,"Sondre Mollatt",446.5,0,"","NO",3879,2.0,10,11,62,6,41,2,3,106,7,1.0,808823
34,"Varot Anuchatkul",445.952377,0,"","TH",1713,6.0,35,66,121,10,331,8,4,592,13,6.0,1301328
35,"Alexandre La Boissonniere",444.3333359,0,"","CA",2604,6.0,31,57,89,7,303,6,4,603,10,4.0,1367417
36,"Dennis Cav",438.5,0,"","TR",5955,2.0,30,34,193,19,69,1,3,310,18,2.0,1247926
37,"Maximus Morgan",438.0,0,"","AU",2603,3.0,4,4,0,0,11,2,4,46,0,4.0,1200052
38,"Jussi Pohjola2",437.0,0,"","FI",3227,4.0,11,15,45,5,49,2,4,142,5,3.0,1109974
39,"Mikołaj Kornijczuk2",429.875,0,"","PL",3529,4.0,27,37,98,11,150,11,4,341,8,4.0,1374269
40,"Roel de Fouw",428.25,0,"","NL",5459,2.0,38,39,217,16,104,1,3,446,22,2.0,209147
41,"Jean Renzen2",427.66666399999997,0,"","NL",2712,5.0,13,23,9,0,91,4,4,231,2,5.0,1068840
42,"Guilherme Schlemper",425.5,0,"","BR",3211,4.0,10,11,15,1,31,2,4,109,1,5.0,1310863
43,"Matias Ezequiel Marcomini",418.0,0,"","AR",2986,5.0,7,11,0,0,30,2,4,117,0,6.0,643280
44,"Mukul Singh4",413.0,0,"","CA",1908,5.0,11,21,70,7,105,11,4,224,5,4.0,1381848
45,"Sebastian Girado",411.5,0,"","AR",1908,7.0,8,26,13,2,174,3,4,246,3,5.0,1224696
46,"Jon Moll",409.099991,0,"","CA",3646,4.0,58,78,165,11,338,2,3,777,13,4.0,989796
47,"Gino Liu",408.5,0,"","US",2302,6.0,12,27,15,2,120,3,4,282,0,5.0,1129406
48,"Elliot Sneddon",407.333328,0,"","GB",5383,1.0,14,14,105,9,34,1,3,176,5,3.0,723954
49,"Daniel Avelino",403.8333359,0,"","BR",1990,6.0,14,32,9,1,148,4,4,360,0,7.0,1075915
50,"Wang Ho Yin",403.5,0,"","HK",5749,3.0,14,18,82,9,59,1,3,173,8,3.0,637769
51,"Franco Jesus Almiron",403.441666,0,"","AR",5015,3.0,76,87,678,50,291,1,3,1160,52,2.0,1290804
52,"James Nelson11",403.0,0,"","US",2366,6.0,11,16,4,0,52,3,4,179,0,4.0,905838
53,"Rudi V F Randgaard",400.0000001,0,"","NO",1868,5.0,19,36,156,15,177,11,4,344,14,4.0,1394973
54,"Joan Pedret Botey",400.0,0,"","FR",4081,3.0,5,6,13,2,16,2,4,64,2,4.0,1202858
55,"Jakub Borowiak",398.0,0,"","PL",1930,7.0,4,10,3,1,55,4,4,97,0,7.0,476351
56,"Martin Alvarez2",392.5833359,0,"","AR",2136,6.0,31,59,53,2,231,5,4,656,2,6.0,1086576
57,"Joan Jorda",392.0,0,"","ES",2334,6.0,6,13,1,0,33,3,4,138,0,5.0,1151059
58,"Tod Rhoades",390.77500150000003,0,"","US",1871,7.0,44,99,63,4,403,3,4,925,1,6.0,872587
59,"Izan Muñoz",390.666672,0,"","GO",3890,4.0,18,25,49,3,98,2,3,266,3,4.0,1100278
60,"Nahuel Gallego",390.0,0,"","AR",3255,6.0,6,12,29,2,46,2,4,121,1,5.0,1108558
61,"Eugene Patin",387.238884,0,"","US",1532,7.0,28,74,180,16,354,4,4,601,11,5.0,1073593
62,"Mark Kerr2",387.0,0,"","AU",3208,4.0,4,5,3,0,4,2,4,55,1,3.0,232510
63,"Bruno Matos2",386.0,0,"","BR",3717,3.0,12,14,25,3,34,2,3,136,4,3.0,660286
64,"Rob C Johnson",383.66666399999997,0,"","ENG",3019,5.0,20,28,15,1,101,2,3,262,3,5.0,1004666
65,"Tore Wåhlin",381.33333600000003,0,"","SE",2907,5.0,16,23,40,4,73,2,3,222,0,6.0,1167470
66,"Philip Gynn",381.3333281,0,"","GB",1928,6.0,14,32,24,5,254,6,4,335,0,7.0,1331158
67,"Harrison Gough",380.399994,0,"","AU",3603,4.0,18,25,79,5,100,2,3,313,4,4.0,1135037
68,"Jukka Tapani",379.34999849999997,0,"","FI",1943,7.0,25,60,61,5,268,4,4,587,6,6.0,877017
69,"Ben Parisi",379.0,0,"","US",1776,6.0,10,23,33,3,126,5,4,295,3,6.0,635175
70,"Eemil Vehanen",378.0,0,"","FI",3845,5.0,12,16,10,2,46,2,3,157,1,5.0,1141154
71,"Kevin Rodriguez Guerra",378.0,0,"","ES",3660,5.0,2,4,13,1,22,2,4,46,0,5.0,382260
72,"Ron Rickerton",377.5,0,"","US",2786,5.0,6,10,0,0,25,2,4,106,0,5.0,816793
73,"Sarah Van Fiepland2",377.0,0,"","DE",3310,4.0,4,5,0,0,20,2,3,65,0,5.0,1136204
74,"Frank Binnendijk",376.0,0,"","NL",3652,3.0,19,21,68,5,19,2,3,205,7,3.0,69111
75,"Emre Yüzbasioglu",373.5,0,"","TR",3411,4.0,11,14,39,3,43,2,3,152,3,4.0,1362131
76,"Xavi Mf",372.1166687,0,"","ES",2186,6.0,26,54,2,0,222,5,4,579,2,8.0,1368024
77,"Ryan D Day",370.0,0,"","AU",2313,5.0,7,9,0,0,33,3,4,97,0,4.0,67256
78,"Matthew Burns6",369.41666399999997,0,"","US",2672,5.0,19,32,30,3,119,3,4,346,2,5.0,812188
79,"Mike D Morgan",369.0,0,"","ENG",3357,5.0,5,7,14,1,34,2,3,75,0,5.0,487456
80,"Phil Berry",368.0,0,"","AQ",2407,7.0,11,27,1,0,96,3,4,317,0,9.0,63792
81,"Shizdy Koolam",366.14286100000004,0,"","TH",3367,5.0,54,86,50,5,355,3,4,930,5,5.0,1385329
82,"Duane Busch",365.5,0,"","US",2811,6.0,8,16,14,2,76,2,4,164,0,5.0,959109
83,"Mario Ras",364.0,0,"","ZA",4529,3.0,19,22,153,15,62,1,3,226,12,2.0,1012883
84,"Ryan Woodrow",364.0,0,"","US",4890,5.0,2,4,13,1,20,1,4,45,3,2.0,420983
85,"João Crespo2",361.5,0,"","PT",2598,6.0,6,12,9,1,60,2,4,129,0,8.0,1248133
86,"Javier Casero romo",360.66666399999997,0,"","ES",3960,2.0,12,13,98,8,42,1,3,175,6,3.0,413596
87,"Alberto Sánchez López",359.0,0,"","ES",3187,7.0,9,18,29,3,62,2,3,154,2,6.0,331790
88,"Alexis Leyrit",358.33928679999997,0,"","FR",1949,7.0,23,77,8,1,317,3,4,785,1,9.0,1366703
89,"Tom Jarvis",358.3333359,0,"","US",1786,6.0,13,27,51,4,172,7,4,302,5,5.0,391267
90,"Marcelo Suita",358.074997,0,"","BR",2032,6.0,37,73,359,31,242,8,4,630,26,5.0,931613
91,"Lucas Craig",355.0,0,"","AU",5033,2.0,5,5,20,1,4,1,3,59,1,3.0,1059557
92,"Shih-Hung Lee",354.0,0,"","AU",3961,4.0,13,15,54,4,30,1,3,142,7,3.0,1111980
93,"Hajrudin Balic2",352.0,0,"","CA",1796,4.0,11,14,27,3,71,8,4,143,1,7.0,725209
94,"Giacomo Perego",352.0,0,"","IT",1888,7.0,5,9,0,0,45,4,4,91,0,8.0,312511
95,"Josh N Lad",351.5,0,"","NU",3810,5.0,8,12,17,2,132,2,3,125,2,6.0,394435
96,"Edward Ciocca",351.5,0,"","US",2030,5.0,6,11,5,0,35,5,4,135,1,5.0,1076969
97,"Sophia Oliveira",350.866661,0,"","BR",2058,6.0,31,60,48,5,373,11,4,600,9,6.0,1395786
98,"Denis Kiriakopoulos",350.0,0,"","CH",3776,5.0,6,11,5,0,44,1,3,138,1,4.0,35982
99,"Leon Stachera",350.0,0,"","PL",4186,6.0,3,4,0,0,16,1,4,46,0,6.0,1195493
100,"Hernan Bosqued",349.949997,0,"","AR",2784,6.0,18,34,56,4,159,2,3,431,4,4.0,1034526
101,"Franklin Souza",349.66666399999997,0,"","BR",2605,6.0,10,17,20,1,70,2,3,155,2,4.0,318799
102,"Karl Herbst",349.61904499999997,0,"","US",1422,7.0,23,62,60,4,375,6,4,544,4,5.0,1319825
103,"Fujiyasu Kuroyama",345.0,0,"","JP",2679,5.0,5,9,7,1,23,3,4,103,0,4.0,1350519
104,"Tuukka Heiman",343.5,0,"","FI",2769,3.0,8,10,38,4,20,3,3,90,3,2.0,868126
105,"Daniel Genis",342.5,0,"","US",1633,6.0,14,28,31,3,150,6,4,328,2,5.0,583341
106,"Christopher Merkel",342.333328,0,"","DE",2505,5.0,15,20,40,3,78,5,3,224,7,3.0,1367819
107,"C Kelly",341.6666641,0,"","SCT",1682,6.0,22,46,159,13,201,7,4,363,17,3.0,157195
108,"Pedro Fontana",341.333328,0,"","BR",4461,4.0,11,15,78,6,40,1,4,211,6,3.0,602537
109,"Brad R Lloyd",340.583328,0,"","WLS",2417,6.0,21,50,8,2,189,2,3,475,2,6.0,1223499
110,"Gianluca Pieta",339.8888932,0,"","BR",1889,6.0,22,49,91,8,257,5,4,390,7,5.0,1074547
111,"Aaron Blaiotta",339.1999971,0,"","AR",2496,6.0,20,38,99,7,176,3,4,437,9,4.0,1146221
112,"George Palozzi",338.0,0,"","GB",3993,7.0,2,6,1,0,69,1,3,70,0,5.0,416679
113,"Joaquin Wigley",337.5,0,"","AR",2338,5.0,9,14,22,2,79,5,3,135,3,5.0,1287455
114,"Matthew Williams46",337.5,0,"","GB",2018,6.0,5,12,5,1,58,4,4,120,1,5.0,1090319
115,"Dylan Ashtari",337.25,0,"","NL",1574,5.0,15,24,88,9,97,8,4,176,7,3.0,1224123
116,"Charlie Mann2",337.0,0,"","GB",1561,5.0,6,9,30,2,42,11,4,74,1,5.0,1397214
117,"Carson Cobb2",336.5,0,"","US",2721,4.0,16,20,34,4,65,11,3,192,4,4.0,1158875
118,"Pedro Salazar2",334.5606079,0,"","PT",1526,6.0,31,70,206,13,561,11,4,773,29,4.0,1340808
119,"Stefan Struwe2",334.5,0,"","DE",2447,6.0,4,8,1,0,37,2,3,83,1,8.0,980759
120,"Angelo Goumas",332.333328,0,"","AU",2260,5.0,31,51,27,2,133,4,4,560,1,6.0,153593
121,"Harrison Whitticombe",331.3333359,0,"","GB",1492,5.0,13,20,97,8,143,11,4,226,9,4.0,1383858
122,"Javier Suárez",331.25,0,"","ES",2308,7.0,11,25,16,2,130,3,4,233,0,7.0,1031013
