"position","name","points","dropped","clubname","countrycode","irating","avgfinish","topfive","starts","lapslead","wins","incidents","division","weekscounted","laps","poles","avgstart","custid"
1,"Jayden Sherwood",324.0,0,"","GB",5813,1.0,4,4,41,4,18,1,2,48,3,1.0,902107
2,"Sondre Mollatt",322.5,0,"","NO",3974,3.0,9,10,62,6,37,2,2,97,7,1.0,808823
3,"Roel de Fouw",288.0,0,"","NL",5425,2.0,23,24,142,12,56,1,2,251,16,1.0,209147
4,"David Rodríguez4",286.5,0,"","ES",5776,2.0,10,10,70,7,6,1,2,108,6,2.0,995197
5,"Sam Mott",285.666672,0,"","GB",4340,2.0,11,13,96,7,45,1,2,181,5,3.0,671814
6,"Syver Aasvestad Sandvik",284.0,0,"","NO",6056,2.0,6,7,48,6,31,1,2,68,6,1.0,951267
7,"Daniel Case2",284.0,0,"","US",4783,2.0,6,6,22,3,25,1,2,66,3,2.0,717224
8,"Pierre Olivier",278.699997,0,"","FR",4640,3.0,31,35,199,13,66,1,2,409,16,3.0,1199856
9,"Brett McBurnie",278.0,0,"","AU",6934,2.0,4,4,33,3,5,1,2,48,4,1.0,22184
10,"Mathias Klein",273.0,0,"","DE",4822,2.0,3,3,15,1,0,1,2,33,1,2.0,114183
11,"Eetu Vehanen",272.5,0,"","FI",2456,5.0,7,10,45,3,47,3,2,108,3,4.0,1142053
12,"Dima Syrkin2",268.666672,0,"","BY",4330,3.0,13,15,40,4,64,1,2,152,0,4.0,922603
13,"Luka Bogunovic",264.0,0,"","NZ",4209,2.0,2,2,12,1,1,1,2,24,0,4.0,1144836
14,"Elijah K White",263.0,0,"","US",3309,5.0,3,5,18,1,15,1,2,59,2,2.0,1151613
15,"Miguel Lozano",259.0,0,"","ES",3531,3.0,9,10,24,3,4,2,2,108,3,3.0,154768
16,"Pedro Fontana",258.333328,0,"","BR",4635,3.0,11,13,78,6,30,1,2,189,6,2.0,602537
17,"Joan Pedret Botey",258.0,0,"","FR",3921,2.0,4,4,13,2,2,2,2,42,2,3.0,1202858
18,"Jiaye Zhu",257.91666399999997,0,"","CN",3142,3.0,31,37,201,17,114,11,2,432,20,3.0,1395257
19,"Luca Bono",256.5,0,"","IT",3615,5.0,6,9,2,0,44,2,2,111,2,4.0,1244989
20,"Wen Jun",254.0,0,"","CN",4250,4.0,37,47,135,15,182,1,2,465,12,3.0,1270700
21,"Munehisa Miyakawa",254.0,0,"","JP",2620,5.0,3,4,17,1,17,2,2,39,1,4.0,633367
22,"Wang Ho Yin",252.5,0,"","HK",5632,4.0,10,14,52,5,50,1,2,137,7,4.0,637769
23,"Tony Alberts",252.0,0,"","US",3300,2.0,6,6,27,2,11,2,2,78,2,2.0,878678
24,"Steve Vandeputte",251.666664,0,"","BE",2561,5.0,23,40,103,8,190,4,2,462,8,4.0,1223052
25,"Tore Wåhlin",248.833336,0,"","SE",2856,5.0,11,16,27,3,54,2,2,166,0,6.0,1167470
26,"Bruno Matos2",248.5,0,"","BR",3681,4.0,5,7,20,3,30,2,2,73,2,5.0,660286
27,"Mike D Morgan",247.0,0,"","ENG",3287,5.0,4,6,14,1,33,2,2,62,0,5.0,487456
28,"Guilherme Schlemper",246.5,0,"","BR",3291,3.0,9,9,15,1,26,2,2,87,1,5.0,1310863
29,"Franklin Souza",246.0,0,"","BR",2632,6.0,7,12,20,1,45,2,2,107,2,4.0,318799
30,"Nahuel Gallego",245.0,0,"","AR",3143,6.0,4,9,22,2,35,2,2,90,0,5.0,1108558
31,"Leonardo Mallaco",244.666664,0,"","BR",2165,5.0,24,34,99,5,91,3,2,380,7,4.0,846713
32,"Harrison Gough",244.0,0,"","AU",3361,5.0,5,8,2,0,36,2,2,95,0,5.0,1135037
33,"Greg Boyce",243.5,0,"","US",3427,4.0,6,8,50,3,32,2,2,108,4,2.0,969500
34,"Marcellus Allen2",240.666664,0,"","US",2904,5.0,28,46,2,1,186,3,2,542,0,10.0,1076146
35,"Stephen Strudwick",239.666664,0,"","GB",3425,4.0,14,19,67,3,97,2,2,232,6,3.0,1337570
36,"Eemil Vehanen",239.5,0,"","FI",3829,5.0,9,13,10,2,38,2,2,130,1,5.0,1141154
37,"Oscar Knight",239.0,0,"","GB",2062,5.0,4,6,15,1,25,4,2,78,1,5.0,1370610
38,"Frankie Dee",239.0,0,"","US",4344,2.0,3,3,0,0,3,1,2,33,0,3.0,511560
39,"Javier Casero romo",237.666664,0,"","ES",4018,3.0,11,12,87,7,38,1,2,162,5,3.0,413596
40,"Denis Kiriakopoulos",237.0,0,"","CH",3938,4.0,5,7,2,0,20,1,2,87,0,4.0,35982
41,"Hernan Bosqued",236.199997,0,"","AR",2822,5.0,13,21,43,3,92,2,2,263,3,3.0,1034526
42,"Shawn Doyle",235.0,0,"","AU",6128,2.0,2,2,20,1,6,1,2,24,2,1.0,421968
43,"Shintaro Ichimura",234.833336,0,"","JP",2851,5.0,9,17,22,1,82,2,2,200,1,4.0,358052
44,"Thomas Hill7",232.0,0,"","GB",2777,7.0,2,4,0,0,33,2,2,35,0,10.0,875722
45,"Bogdan Krystek",229.15714300000002,0,"","CA",2702,5.0,35,64,38,2,304,4,2,718,4,4.0,1147090
46,"Scott Cooper7",229.0,0,"","AU",2876,3.0,17,18,38,3,44,3,2,232,6,3.0,1196186
47,"Manuel Dambacher",227.666664,0,"","FR",2573,6.0,14,28,15,1,100,3,2,318,1,5.0,1137112
48,"Guangyao Wang",227.5,0,"","CN",3064,6.0,3,7,7,0,32,2,2,65,0,7.0,994592
49,"Martin Fleurent2",224.0,0,"","CA",2123,5.0,6,11,12,1,46,5,2,145,0,5.0,302541
50,"Joaquin Wigley",224.0,0,"","AR",1897,5.0,3,6,13,1,39,5,2,64,2,4.0,1287455
51,"Varot Anuchatkul",222.952377,0,"","TH",2026,6.0,27,49,81,6,257,8,2,455,8,6.0,1301328
52,"Mark Mifsud",222.0,0,"","MT",5119,2.0,8,8,57,4,9,1,2,96,4,2.0,761111
53,"Carson Krenz",220.416664,0,"","US",3535,5.0,14,22,36,3,75,1,2,241,5,3.0,301961
54,"Angelo Goumas",220.333328,0,"","AU",2852,5.0,30,46,27,2,110,4,2,517,1,6.0,153593
55,"Paulius Rudminas",220.0,0,"","LT",2219,2.0,3,3,9,1,9,4,2,39,2,2.0,1236247
56,"Jakub Borowiak",220.0,0,"","PL",2040,4.0,3,5,3,1,15,4,2,51,0,5.0,476351
57,"Joan Jorda",217.0,0,"","ES",2437,5.0,5,8,0,0,19,3,2,95,0,6.0,1151059
58,"John Monsalve",216.542862,0,"","US",2671,5.0,37,65,46,3,231,4,2,800,2,5.0,976488
59,"Michal Zajezierski",215.75,0,"","PL",2986,5.0,11,16,18,3,52,2,2,150,0,6.0,1168926
60,"James Nelson11",215.0,0,"","US",2565,4.0,8,8,0,0,18,3,2,96,0,4.0,905838
61,"Juan Requena",213.8874969,0,"","ES",2256,6.0,47,101,40,3,535,5,2,1197,3,6.0,1256216
62,"Alexandre La Boissonniere",213.8333359,0,"","CA",2319,6.0,23,44,89,7,231,6,2,463,7,4.0,1367417
63,"Liberato Augusto Barambio Hernandez",212.821426,0,"","ES",2081,6.0,52,100,119,8,309,4,2,942,7,7.0,1277953
64,"Jukka Tapani",212.25,0,"","FI",2013,6.0,13,29,35,3,129,4,2,337,4,5.0,877017
