"position","name","points","dropped","clubname","countrycode","irating","avgfinish","topfive","starts","lapslead","wins","incidents","division","weekscounted","laps","poles","avgstart","custid"
1,"Daniel Case2",708.0,0,"","US",4638,3.0,13,15,65,7,51,1,5,154,8,2.0,717224
2,"Mathias Klein",702.0,0,"","DE",4763,2.0,7,7,40,4,0,1,5,72,3,2.0,114183
3,"Elijah K White",661.0,0,"","US",3659,4.0,13,20,80,7,78,1,5,204,10,2.0,1151613
4,"Stephen Strudwick",652.916664,0,"","GB",3761,4.0,38,51,163,12,186,2,5,530,19,2.0,1337570
5,"Jayden Sherwood",647.0,0,"","GB",5711,2.0,6,7,71,6,34,1,4,83,5,1.0,902107
6,"Brett McBurnie",636.0,0,"","AU",6898,2.0,9,10,61,5,25,1,5,108,7,2.0,22184
7,"Luka Bogunovic",636.0,0,"","NZ",4344,2.0,6,6,43,4,3,1,5,62,3,2.0,1144836
8,"David Rodríguez4",627.5,0,"","ES",5866,2.0,16,16,117,12,15,1,5,165,10,2.0,995197
9,"Tony Alberts",617.0,0,"","US",3266,3.0,10,12,37,3,36,2,5,135,3,3.0,878678
10,"Leonardo Mallaco",612.3333279999999,0,"","BR",2906,4.0,52,71,229,17,178,3,5,710,17,4.0,846713
11,"Pino Palazzo",612.3000030000001,0,"","GB",4850,3.0,31,36,205,21,143,1,4,394,16,3.0,952603
12,"Steve Vandeputte",610.000008,0,"","BE",3033,5.0,52,94,134,11,440,4,5,919,23,3.0,1223052
13,"Miguel Lozano",604.0,0,"","ES",3591,3.0,18,21,48,5,26,2,5,237,5,3.0,154768
14,"Bogdan Krystek",578.552979,0,"","CA",2503,6.0,82,169,157,12,815,4,5,1739,21,4.0,1147090
15,"Carson Krenz",578.116661,0,"","US",3638,4.0,45,59,134,13,169,1,5,639,11,4.0,301961
16,"Frankie Dee",578.0,0,"","US",4319,3.0,7,9,14,2,24,1,5,93,1,4.0,511560
17,"Jussi Pohjola2",574.0,0,"","FI",3298,3.0,12,16,52,6,52,2,5,150,6,3.0,1109974
18,"Scott Cooper7",565.8333279999999,0,"","AU",3107,4.0,33,41,58,4,146,3,5,460,7,4.0,1196186
19,"Mark Mifsud",565.0,0,"","MT",4907,3.0,18,20,58,5,40,1,5,216,5,3.0,761111
20,"Guilherme Schlemper",547.5,0,"","BR",3231,4.0,12,14,15,1,39,2,5,133,1,5.0,1310863
